analyzed_at,ticker,prix_a_la_decision,decision
2025-07-25T14:19:49.825054,,0.0,IGNORER
2025-07-25T14:19:46.208343,,0.0,IGNORER
2025-07-25T14:19:39.100034,,0.0,IGNORER
2025-07-25T14:19:33.036310,,0.0,SURVEILLER
2025-07-25T14:19:25.941694,,0.0,SURVEILLER
2025-07-25T14:19:18.133785,,0.0,IGNORER
2025-07-25T14:19:12.923407,,0.0,SURVEILLER
2025-07-25T14:19:06.089540,AIR.PA,180.94000244140625,SHORT
2025-07-25T14:19:02.261968,,0.0,IGNORER
2025-07-25T14:18:58.245848,,0.0,IGNORER
2025-07-25T14:18:50.000577,MC.PA,481.29998779296875,SHORT
2025-07-25T14:18:46.512355,,0.0,IGNORER
2025-07-25T14:18:40.164546,,0.0,IGNORER
2025-07-25T14:18:34.622052,SRPT,12.869000434875488,SHORT
2025-07-25T14:18:25.888214,,0.0,IGNORER
2025-07-25T14:18:21.133638,,0.0,SURVEILLER
2025-07-25T14:18:15.654307,,0.0,IGNORER
2025-07-25T14:18:07.009782,TTE,60.59000015258789,LONG
2025-07-25T14:17:47.004497,,0.0,IGNORER
2025-07-25T14:17:39.087361,,0.0,IGNORER
